RegistrationType,Modalities,Subject,TimeElapsed,PreLandmarkError,PostLandmarkError
antsRegistrationSyNQuick[a],t1,BraTSReg_003,4.909093856811523,3.355994901265485,2.5871936341952195
antsRegistrationSyNQuick[a],t1ce,BraTSReg_003,4.8103907108306885,3.355994901265485,2.693894684276431
antsRegistrationSyNQuick[a],flair,BraTSReg_003,4.460270166397095,3.355994901265485,2.6403762045795474
antsRegistrationSyNQuick[a],t2,BraTSReg_003,4.676701784133911,3.355994901265485,2.730668074868325
antsRegistrationSyNQuick[a],t1,BraTSReg_004,5.289487838745117,3.7337491832678276,3.2722692130212443
antsRegistrationSyNQuick[a],t1ce,BraTSReg_004,4.997591972351074,3.7337491832678276,3.3148857260397144
antsRegistrationSyNQuick[a],flair,BraTSReg_004,4.81159520149231,3.7337491832678276,3.194614541436978
antsRegistrationSyNQuick[a],t2,BraTSReg_004,4.425977945327759,3.7337491832678276,3.145816194421903
antsRegistrationSyNQuick[a],t1,BraTSReg_032,4.585879802703857,3.219103390285459,3.1527116098846655
antsRegistrationSyNQuick[a],t1ce,BraTSReg_032,5.19189190864563,3.219103390285459,3.1776231042310044
antsRegistrationSyNQuick[a],flair,BraTSReg_032,5.44684100151062,3.219103390285459,3.127942541707147
antsRegistrationSyNQuick[a],t2,BraTSReg_032,4.522068023681641,3.219103390285459,2.9316901094360444
antsRegistrationSyNQuick[a],t1,BraTSReg_035,5.3151350021362305,1.2750469233121475,1.2819669948989294
antsRegistrationSyNQuick[a],t1ce,BraTSReg_035,5.225056886672974,1.2750469233121475,1.274324825996838
antsRegistrationSyNQuick[a],flair,BraTSReg_035,5.192861080169678,1.2750469233121475,1.3364734674660068
antsRegistrationSyNQuick[a],t2,BraTSReg_035,5.15699315071106,1.2750469233121475,1.3193569427450067
antsRegistrationSyNQuick[a],t1,BraTSReg_061,5.4076087474823,3.8785892161461533,3.566837695425508
antsRegistrationSyNQuick[a],t1ce,BraTSReg_061,5.421661138534546,3.8785892161461533,3.47526710166962
antsRegistrationSyNQuick[a],flair,BraTSReg_061,6.31653094291687,3.8785892161461533,3.3530450821571716
antsRegistrationSyNQuick[a],t2,BraTSReg_061,5.604899644851685,3.8785892161461533,3.491140588469484
antsRegistrationSyNQuick[a],t1,BraTSReg_095,5.11891508102417,2.9612392278166046,1.3873155237190806
antsRegistrationSyNQuick[a],t1ce,BraTSReg_095,4.059114933013916,2.9612392278166046,1.4744378512561458
antsRegistrationSyNQuick[a],flair,BraTSReg_095,4.962139844894409,2.9612392278166046,1.5943419501224616
antsRegistrationSyNQuick[a],t2,BraTSReg_095,5.082682132720947,2.9612392278166046,1.4208620013498112
antsRegistrationSyNQuick[a],t1,BraTSReg_059,5.43435001373291,3.7728498408896356,3.555231815098573
antsRegistrationSyNQuick[a],t1ce,BraTSReg_059,5.35616397857666,3.7728498408896356,3.554463292426385
antsRegistrationSyNQuick[a],flair,BraTSReg_059,4.733147859573364,3.7728498408896356,3.5967564516752306
antsRegistrationSyNQuick[a],t2,BraTSReg_059,4.891804933547974,3.7728498408896356,3.4682349107451165
antsRegistrationSyNQuick[a],t1,BraTSReg_092,4.848902940750122,2.970962483532722,2.166850548697297
antsRegistrationSyNQuick[a],t1ce,BraTSReg_092,5.0802412033081055,2.970962483532722,2.1732343890088663
antsRegistrationSyNQuick[a],flair,BraTSReg_092,4.234771251678467,2.970962483532722,2.2762116819143814
antsRegistrationSyNQuick[a],t2,BraTSReg_092,5.0850958824157715,2.970962483532722,2.244332621208199
antsRegistrationSyNQuick[a],t1,BraTSReg_066,5.011025905609131,4.841603265413882,4.507009423769043
antsRegistrationSyNQuick[a],t1ce,BraTSReg_066,5.230758905410767,4.841603265413882,4.311266999320344
antsRegistrationSyNQuick[a],flair,BraTSReg_066,5.094129800796509,4.841603265413882,3.9765056638341334
antsRegistrationSyNQuick[a],t2,BraTSReg_066,4.8944361209869385,4.841603265413882,4.128404778444728
antsRegistrationSyNQuick[a],t1,BraTSReg_050,4.979154825210571,4.173087594853652,4.233860745802384
antsRegistrationSyNQuick[a],t1ce,BraTSReg_050,4.869143009185791,4.173087594853652,4.159379368934244
antsRegistrationSyNQuick[a],flair,BraTSReg_050,4.674447059631348,4.173087594853652,4.20170827911899
antsRegistrationSyNQuick[a],t2,BraTSReg_050,4.391810178756714,4.173087594853652,4.161898104217892
antsRegistrationSyNQuick[a],t1,BraTSReg_068,4.788623094558716,4.252609759845673,4.320708349065798
antsRegistrationSyNQuick[a],t1ce,BraTSReg_068,4.884629964828491,4.252609759845673,4.5769367337734606
antsRegistrationSyNQuick[a],flair,BraTSReg_068,4.526054859161377,4.252609759845673,4.676808871353555
antsRegistrationSyNQuick[a],t2,BraTSReg_068,5.007770299911499,4.252609759845673,4.444088865324204
antsRegistrationSyNQuick[a],t1,BraTSReg_057,4.697828054428101,3.927616510586583,3.8458928886893786
antsRegistrationSyNQuick[a],t1ce,BraTSReg_057,4.76673698425293,3.927616510586583,3.9690038569605917
antsRegistrationSyNQuick[a],flair,BraTSReg_057,4.950531005859375,3.927616510586583,3.939721118556622
antsRegistrationSyNQuick[a],t2,BraTSReg_057,4.6024580001831055,3.927616510586583,3.985093445130134
antsRegistrationSyNQuick[a],t1,BraTSReg_034,5.036272764205933,1.345177968644246,1.313950343267474
antsRegistrationSyNQuick[a],t1ce,BraTSReg_034,4.570461988449097,1.345177968644246,1.3155319384094817
antsRegistrationSyNQuick[a],flair,BraTSReg_034,3.7323272228240967,1.345177968644246,1.2244746633963597
antsRegistrationSyNQuick[a],t2,BraTSReg_034,4.617006063461304,1.345177968644246,1.283551305736074
antsRegistrationSyNQuick[a],t1,BraTSReg_033,4.923351049423218,1.74535599249993,1.7550983742557253
antsRegistrationSyNQuick[a],t1ce,BraTSReg_033,4.425273895263672,1.74535599249993,1.7420823541210837
antsRegistrationSyNQuick[a],flair,BraTSReg_033,4.823878765106201,1.74535599249993,1.6580476741884989
antsRegistrationSyNQuick[a],t2,BraTSReg_033,4.764829158782959,1.74535599249993,1.7719412677782629
antsRegistrationSyNQuick[a],t1,BraTSReg_005,4.36672568321228,3.083499712092545,2.294189330605958
antsRegistrationSyNQuick[a],t1ce,BraTSReg_005,4.3070971965789795,3.083499712092545,2.3221509092715817
antsRegistrationSyNQuick[a],flair,BraTSReg_005,4.905551195144653,3.083499712092545,2.375079192143046
antsRegistrationSyNQuick[a],t2,BraTSReg_005,4.748218059539795,3.083499712092545,2.279417354247603
antsRegistrationSyNQuick[a],t1,BraTSReg_002,4.564937353134155,2.325255458393975,2.2989840566166815
antsRegistrationSyNQuick[a],t1ce,BraTSReg_002,4.022147178649902,2.325255458393975,2.3440442969495243
antsRegistrationSyNQuick[a],flair,BraTSReg_002,4.928644895553589,2.325255458393975,2.312536771460923
antsRegistrationSyNQuick[a],t2,BraTSReg_002,4.851527214050293,2.325255458393975,2.389318279401978
antsRegistrationSyNQuick[a],t1,BraTSReg_069,4.478039979934692,3.4853685607022498,3.7782245213639016
antsRegistrationSyNQuick[a],t1ce,BraTSReg_069,4.746340751647949,3.4853685607022498,3.4387521333161724
antsRegistrationSyNQuick[a],flair,BraTSReg_069,4.293890953063965,3.4853685607022498,3.678225904716313
antsRegistrationSyNQuick[a],t2,BraTSReg_069,4.985824823379517,3.4853685607022498,3.6085653834599207
antsRegistrationSyNQuick[a],t1,BraTSReg_056,5.202945232391357,4.266743079815105,3.462005772819727
antsRegistrationSyNQuick[a],t1ce,BraTSReg_056,4.716084003448486,4.266743079815105,3.124527731195087
antsRegistrationSyNQuick[a],flair,BraTSReg_056,4.367854118347168,4.266743079815105,3.229179001077943
antsRegistrationSyNQuick[a],t2,BraTSReg_056,4.7217857837677,4.266743079815105,3.017717179313187
antsRegistrationSyNQuick[a],t1,BraTSReg_051,4.577454090118408,6.082080114789832,5.3162724437580104
antsRegistrationSyNQuick[a],t1ce,BraTSReg_051,4.4666008949279785,6.082080114789832,5.343549274957007
antsRegistrationSyNQuick[a],flair,BraTSReg_051,4.670374870300293,6.082080114789832,5.333372275843489
antsRegistrationSyNQuick[a],t2,BraTSReg_051,4.712681293487549,6.082080114789832,5.382800453233942
antsRegistrationSyNQuick[a],t1,BraTSReg_058,4.767208814620972,6.74604248751786,7.0502001052319345
antsRegistrationSyNQuick[a],t1ce,BraTSReg_058,4.407183885574341,6.74604248751786,7.097981585877474
antsRegistrationSyNQuick[a],flair,BraTSReg_058,4.843808889389038,6.74604248751786,6.989085264974126
antsRegistrationSyNQuick[a],t2,BraTSReg_058,4.450786113739014,6.74604248751786,6.7406667742663045
antsRegistrationSyNQuick[a],t1,BraTSReg_067,4.514665126800537,3.406318602206775,3.852078584849245
antsRegistrationSyNQuick[a],t1ce,BraTSReg_067,4.4161951541900635,3.406318602206775,3.853375314828593
antsRegistrationSyNQuick[a],flair,BraTSReg_067,4.76142692565918,3.406318602206775,4.014023262640577
antsRegistrationSyNQuick[a],t2,BraTSReg_067,4.421519994735718,3.406318602206775,3.7342741179950125
antsRegistrationSyNQuick[a],t1,BraTSReg_093,4.350598096847534,2.5415785646855986,2.011361589781497
antsRegistrationSyNQuick[a],t1ce,BraTSReg_093,4.5826640129089355,2.5415785646855986,2.2358813759588987
antsRegistrationSyNQuick[a],flair,BraTSReg_093,4.537960767745972,2.5415785646855986,1.9794879839704598
antsRegistrationSyNQuick[a],t2,BraTSReg_093,4.9197492599487305,2.5415785646855986,1.7594332832954542
antsRegistrationSyNQuick[a],t1,BraTSReg_094,4.0939860343933105,6.554793801288981,4.123360154557479
