RegistrationType,Modalities,Subject,TimeElapsed,PreLandmarkError,PostLandmarkError
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_003,328.1860418319702,3.355994901265485,1.4465283800020705
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_003,302.7148711681366,3.355994901265485,1.558537194185358
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_003,410.21840810775757,3.355994901265485,1.3487306527889242
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_003,411.5368528366089,3.355994901265485,1.4985608471484895
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_003,710.1902248859406,3.355994901265485,1.4557759188535517
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_003,649.4476759433746,3.355994901265485,1.5306366660645196
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_003,804.6884942054749,3.355994901265485,1.3746596761878258
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_003,819.4441611766815,3.355994901265485,1.4168222087971365
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_004,296.4365577697754,3.7337491832678276,2.1316113325570116
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_004,281.7781229019165,3.7337491832678276,1.9385677919022033
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_004,423.34062600135803,3.7337491832678276,1.9762093750708265
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_004,422.61156702041626,3.7337491832678276,1.93038234004157
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_004,651.0367112159729,3.7337491832678276,2.1023194302549695
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_004,666.392599105835,3.7337491832678276,1.9981714824543018
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_004,780.6540911197662,3.7337491832678276,2.046989203278496
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_004,776.9184560775757,3.7337491832678276,1.941205456381841
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_032,283.88191509246826,3.219103390285459,1.667755840710713
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_032,287.0614037513733,3.219103390285459,1.5684396829746075
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_032,415.07086277008057,3.219103390285459,1.6482345041908537
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_032,424.51476883888245,3.219103390285459,1.5100908126134207
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_032,678.0480439662933,3.219103390285459,1.9145117477927371
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_032,631.103089094162,3.219103390285459,1.6933632767132243
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_032,765.0489790439606,3.219103390285459,1.8587656574383924
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_032,793.4314291477203,3.219103390285459,1.690351328388201
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_035,310.99291586875916,1.2750469233121475,1.2141284344363699
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_035,284.76519799232483,1.2750469233121475,1.329084561935649
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_035,394.82596588134766,1.2750469233121475,1.2553721571746184
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_035,384.36368584632874,1.2750469233121475,1.3372760712567857
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_035,620.9048299789429,1.2750469233121475,1.1814446903734401
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_035,651.0377268791199,1.2750469233121475,1.344781830971031
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_035,750.4970901012421,1.2750469233121475,1.216263056283706
"antsRegistrationSyN[b,4,26]",t1ce_t2,BraTSReg_035,735.376412153244,1.2750469233121475,1.3502037848963122
"antsRegistrationSyN[s,2]",t1ce_flair,BraTSReg_061,304.31082797050476,3.8785892161461533,2.8338891425880424
"antsRegistrationSyN[s,2]",t1ce_t2,BraTSReg_061,308.10843110084534,3.8785892161461533,2.893120882499805
"antsRegistrationSyN[b,2,26]",t1ce_flair,BraTSReg_061,405.78358602523804,3.8785892161461533,2.75017086131192
"antsRegistrationSyN[b,2,26]",t1ce_t2,BraTSReg_061,404.1553518772125,3.8785892161461533,2.82996754838277
"antsRegistrationSyN[s,4]",t1ce_flair,BraTSReg_061,631.2257759571075,3.8785892161461533,2.886665840967513
"antsRegistrationSyN[s,4]",t1ce_t2,BraTSReg_061,653.434864282608,3.8785892161461533,3.0364822342828544
"antsRegistrationSyN[b,4,26]",t1ce_flair,BraTSReg_061,728.0951609611511,3.8785892161461533,2.907813579950169
